date,state,prediction,predicted_delta_12,lag_12
2020-03-01,alabama,337.1111111111111,14.11111111111111,323.0
2020-03-01,alaska,17.555555555555557,1.5555555555555556,16.0
2020-03-01,arizona,554.4444444444445,52.44444444444444,502.0
2020-03-01,arkansas,145.55555555555554,0.5555555555555556,145.0
2020-03-01,california,5150.888888888889,314.8888888888889,4836.0
2020-03-01,colorado,1116.888888888889,80.88888888888889,1036.0
2020-03-01,connecticut,78.55555555555556,1.5555555555555556,77.0
2020-03-01,delaware,11.222222222222221,0.2222222222222222,11.0
2020-03-01,district_of_columbia,5.333333333333333,0.3333333333333333,5.0
2020-03-01,east_north_central,3961.0,273.0,3688.0
2020-03-01,east_south_central,594.3333333333334,13.333333333333334,581.0
2020-03-01,florida,782.5555555555555,38.55555555555556,744.0
2020-03-01,georgia,640.3333333333334,37.333333333333336,603.0
2020-03-01,hawaii,99.22222222222223,4.222222222222222,95.0
2020-03-01,idaho,340.55555555555554,27.555555555555557,313.0
2020-03-01,illinois,1653.111111111111,119.11111111111111,1534.0
2020-03-01,indiana,770.4444444444445,51.44444444444444,719.0
2020-03-01,iowa,2806.8888888888887,193.88888888888889,2613.0
2020-03-01,kansas,2043.111111111111,167.11111111111111,1876.0
2020-03-01,kentucky,33.44444444444444,-2.5555555555555554,36.0
2020-03-01,louisiana,187.77777777777777,1.7777777777777777,186.0
2020-03-01,maine,486.6666666666667,10.666666666666666,476.0
2020-03-01,maryland,127.22222222222223,8.222222222222221,119.0
2020-03-01,massachusetts,223.55555555555554,11.555555555555555,212.0
2020-03-01,michigan,901.6666666666666,64.66666666666667,837.0
2020-03-01,middle_atlantic,1414.3333333333333,54.333333333333336,1360.0
2020-03-01,minnesota,1336.4444444444443,71.44444444444444,1265.0
2020-03-01,mississippi,119.88888888888889,-1.1111111111111112,121.0
2020-03-01,missouri,328.77777777777777,24.77777777777778,304.0
2020-03-01,montana,205.55555555555554,10.555555555555555,195.0
2020-03-01,mountain,4465.777777777777,328.77777777777777,4137.0
2020-03-01,nebraska,748.0,70.0,678.0
2020-03-01,nevada,844.8888888888889,64.88888888888889,780.0
2020-03-01,new_england,1099.0,40.0,1059.0
2020-03-01,new_hampshire,168.22222222222223,7.222222222222222,161.0
2020-03-01,new_jersey,180.11111111111111,11.11111111111111,169.0
2020-03-01,new_mexico,723.3333333333334,55.333333333333336,668.0
2020-03-01,new_york,695.6666666666666,27.666666666666668,668.0
2020-03-01,north_carolina,1012.3333333333334,87.33333333333333,925.0
2020-03-01,north_dakota,1177.3333333333333,87.33333333333333,1090.0
2020-03-01,ohio,307.0,25.0,282.0
2020-03-01,oklahoma,2692.3333333333335,226.33333333333334,2466.0
2020-03-01,oregon,468.3333333333333,7.333333333333333,461.0
2020-03-01,pacific_contiguous,6122.777777777777,315.77777777777777,5807.0
2020-03-01,pacific_noncontiguous,116.77777777777777,5.777777777777778,111.0
2020-03-01,pennsylvania,537.4444444444445,15.444444444444445,522.0
2020-03-01,rhode_island,47.55555555555556,3.5555555555555554,44.0
2020-03-01,south_atlantic,3409.3333333333335,215.33333333333334,3194.0
2020-03-01,south_carolina,261.3333333333333,12.333333333333334,249.0
2020-03-01,south_dakota,275.6666666666667,17.666666666666668,258.0
2020-03-01,tennessee,103.77777777777777,2.7777777777777777,101.0
2020-03-01,texas,7596.666666666667,479.6666666666667,7117.0
2020-03-01,utah,299.44444444444446,22.444444444444443,277.0
2020-03-01,vermont,93.33333333333333,5.333333333333333,88.0
2020-03-01,virginia,417.1111111111111,24.11111111111111,393.0
2020-03-01,washington,503.55555555555554,-6.444444444444445,510.0
2020-03-01,west_north_central,8717.333333333334,632.3333333333334,8085.0
2020-03-01,west_south_central,10621.222222222223,708.2222222222222,9913.0
