date,state,prediction,predicted_delta_12,lag_12,value,baseline
2017-03-01,alabama,266.6666666666667,-3.3333333333333335,270.0,254.0,270.0
2017-03-01,alaska,14.333333333333334,1.3333333333333333,13.0,19.0,13.0
2017-03-01,arizona,418.44444444444446,41.44444444444444,377.0,548.0,377.0
2017-03-01,arkansas,128.22222222222223,-1.7777777777777777,130.0,117.0,130.0
2017-03-01,california,4239.888888888889,224.88888888888889,4015.0,4491.0,4015.0
2017-03-01,colorado,1088.2222222222222,100.22222222222223,988.0,978.0,988.0
2017-03-01,connecticut,80.77777777777777,1.7777777777777777,79.0,60.0,79.0
2017-03-01,delaware,10.666666666666666,0.6666666666666666,10.0,11.0,10.0
2017-03-01,district_of_columbia,4.0,0.0,4.0,5.0,4.0
2017-03-01,east_north_central,3052.0,263.0,2789.0,3259.0,2789.0
2017-03-01,east_south_central,533.3333333333334,1.3333333333333333,532.0,514.0,532.0
2017-03-01,florida,418.77777777777777,5.777777777777778,413.0,505.0,413.0
2017-03-01,georgia,413.1111111111111,13.11111111111111,400.0,553.0,400.0
2017-03-01,hawaii,96.66666666666667,4.666666666666667,92.0,123.0,92.0
2017-03-01,idaho,385.1111111111111,34.111111111111114,351.0,327.0,351.0
2017-03-01,illinois,1263.0,119.0,1144.0,1368.0,1144.0
2017-03-01,indiana,625.0,61.0,564.0,585.0,564.0
2017-03-01,iowa,2049.3333333333335,175.33333333333334,1874.0,2446.0,1874.0
2017-03-01,kansas,1574.111111111111,146.11111111111111,1428.0,1894.0,1428.0
2017-03-01,kentucky,42.0,0.0,42.0,35.0,42.0
2017-03-01,louisiana,215.33333333333334,-4.666666666666667,220.0,222.0,220.0
2017-03-01,maine,399.6666666666667,5.666666666666667,394.0,505.0,394.0
2017-03-01,maryland,115.0,7.0,108.0,120.0,108.0
2017-03-01,massachusetts,164.66666666666666,5.666666666666667,159.0,185.0,159.0
2017-03-01,michigan,670.2222222222222,48.22222222222222,622.0,770.0,622.0
2017-03-01,middle_atlantic,1397.5555555555557,82.55555555555556,1315.0,1382.0,1315.0
2017-03-01,minnesota,1107.888888888889,72.88888888888889,1035.0,1356.0,1035.0
2017-03-01,mississippi,136.33333333333334,3.3333333333333335,133.0,125.0,133.0
2017-03-01,missouri,144.11111111111111,14.11111111111111,130.0,200.0,130.0
2017-03-01,montana,243.0,18.0,225.0,208.0,225.0
2017-03-01,mountain,3857.8888888888887,333.8888888888889,3524.0,3962.0,3524.0
2017-03-01,nebraska,390.3333333333333,36.333333333333336,354.0,500.0,354.0
2017-03-01,nevada,605.5555555555555,49.55555555555556,556.0,677.0,556.0
2017-03-01,new_england,935.3333333333334,27.333333333333332,908.0,1066.0,908.0
2017-03-01,new_hampshire,191.55555555555554,9.555555555555555,182.0,201.0,182.0
2017-03-01,new_jersey,167.77777777777777,9.777777777777779,158.0,164.0,158.0
2017-03-01,new_mexico,465.3333333333333,34.333333333333336,431.0,477.0,431.0
2017-03-01,new_york,616.6666666666666,34.666666666666664,582.0,623.0,582.0
2017-03-01,north_carolina,576.2222222222222,45.22222222222222,531.0,714.0,531.0
2017-03-01,north_dakota,797.0,74.0,723.0,1080.0,723.0
2017-03-01,ohio,213.77777777777777,17.77777777777778,196.0,246.0,196.0
2017-03-01,oklahoma,2222.777777777778,201.77777777777777,2021.0,2478.0,2021.0
2017-03-01,oregon,770.5555555555555,60.55555555555556,710.0,633.0,710.0
2017-03-01,pacific_contiguous,6067.111111111111,361.1111111111111,5706.0,5945.0,5706.0
2017-03-01,pacific_noncontiguous,111.0,6.0,105.0,141.0,105.0
2017-03-01,pennsylvania,613.0,38.0,575.0,595.0,575.0
2017-03-01,rhode_island,20.666666666666668,0.6666666666666666,20.0,35.0,20.0
2017-03-01,south_atlantic,2216.1111111111113,101.11111111111111,2115.0,2649.0,2115.0
2017-03-01,south_carolina,189.55555555555554,2.5555555555555554,187.0,208.0,187.0
2017-03-01,south_dakota,374.0,36.0,338.0,305.0,338.0
2017-03-01,tennessee,88.33333333333333,1.3333333333333333,87.0,101.0,87.0
2017-03-01,texas,6390.222222222223,552.2222222222222,5838.0,7419.0,5838.0
2017-03-01,utah,176.66666666666666,15.666666666666666,161.0,334.0,161.0
2017-03-01,vermont,79.11111111111111,4.111111111111111,75.0,81.0,75.0
2017-03-01,virginia,340.3333333333333,13.333333333333334,327.0,350.0,327.0
2017-03-01,washington,1056.6666666666667,75.66666666666667,981.0,821.0,981.0
2017-03-01,west_north_central,6437.888888888889,554.8888888888889,5883.0,7781.0,5883.0
2017-03-01,west_south_central,8955.444444444445,747.4444444444445,8208.0,10235.0,8208.0
2017-03-01,west_virginia,147.0,13.0,134.0,183.0,134.0
2017-03-01,wisconsin,279.8888888888889,16.88888888888889,263.0,291.0,263.0
2017-03-01,wyoming,475.44444444444446,40.44444444444444,435.0,413.0,435.0
2017-04-01,alabama,209.55555555555554,-9.444444444444445,219.0,274.0,219.0
2017-04-01,alaska,24.333333333333332,2.3333333333333335,22.0,18.0,22.0
2017-04-01,arizona,449.55555555555554,44.55555555555556,405.0,576.0,405.0
2017-04-01,arkansas,104.33333333333333,-2.6666666666666665,107.0,120.0,107.0
2017-04-01,california,4415.111111111111,231.11111111111111,4184.0,4782.0,4184.0
